name,typ1,typ2,typ3,lon,lat
湖南粮食中心批发市场有限责任公司,购物服务,综合市场,农副产品市场|公司企业,112.986377,28.227914000000002
青山生活购物中心,购物服务,超级市场,超市,112.904005,28.236351000000003
金苹果新世纪商业街,购物服务,特色商业街,特色商业街,113.012143,28.187835999999997
圣得西(金洲大道),购物服务,服装鞋帽皮具店,品牌服装店,112.65468,28.265321000000004
贝贝熊(长沙省妇幼店),购物服务,专卖店,儿童用品店,112.98186399999999,28.20862
车饰街,购物服务,特色商业街,特色商业街,113.017256,28.20325
河马公园购物中心(南郊公园店),购物服务,商场,购物中心,112.973321,28.141702000000002
金太阳纸业(金马路),购物服务,专卖店,专营店,112.986989,28.247142999999998
明仁眼镜(银杉路),购物服务,专卖店,眼镜店,112.95193700000002,28.232674
广博书屋(曾家湾巷),购物服务,专卖店,书店,113.00235900000001,28.178406
晨光文具(鹅秀路),购物服务,文化用品店,文化用品店,112.96727800000001,28.305937
非凡(上麻园岭巷),购物服务,服装鞋帽皮具店,服装鞋帽皮具店,112.98449,28.214001
人人乐百货,购物服务,商场,普通商场,112.55631100000001,28.266465999999998
淘淘小吃街,购物服务,特色商业街,特色商业街,112.976878,28.190507
长沙市星星书店,购物服务,专卖店,书店,113.001202,28.1973
鸿诚电器商行,购物服务,家电电子卖场,综合家电商场,113.019481,28.173246000000002
西子商业中心,购物服务,商场,购物中心,113.02938600000002,28.180539000000003
运达中央广场购物中心,购物服务,商场,购物中心,113.04262,28.17128
Balabala(凌霄路店),购物服务,专卖店,儿童用品店,113.02121499999998,28.202262
茶颜悦色,餐饮服务,冷饮店,冷饮店|购物服务,112.975849,28.195724
五音琴行(砂子塘路店),购物服务,专卖店,专营店,113.00175800000001,28.162171
长沙ALIENWARE外星人国储店,购物服务,家电电子卖场,数码电子,113.010729,28.191594
黄大侠泡菜(府后街店),购物服务,综合市场,农副产品市场,112.97794099999999,28.199151
星光布艺,购物服务,家居建材市场,布艺市场,112.911367,28.217765000000004
鞋柜(黄兴3店),购物服务,服装鞋帽皮具店,品牌鞋店,112.976122,28.187407
zippo(解放中路),购物服务,专卖店,礼品饰品店,112.996273,28.190703999999997
鞋柜(麓山路),购物服务,服装鞋帽皮具店,品牌鞋店,112.95114699999999,28.193521
良品铺子(林科大店),购物服务,专卖店,专营店,113.00132099999999,28.133783
四季花苑(三湘花卉市场店),购物服务,花鸟鱼虫市场,花卉市场,113.015445,28.210879
花鸟鱼虫休闲街,购物服务,花鸟鱼虫市场,花鸟鱼虫市场,113.01611499999999,28.209088
神韵磁砖(长沙总代理),购物服务,家居建材市场,建材五金市场,113.07937,28.196619000000002
步阳安全门,购物服务,家居建材市场,家居建材市场,113.01438,28.11448
朝阳百货,购物服务,购物相关场所,购物相关场所,113.018528,28.172960999999997
红黄蓝(德汇路),购物服务,专卖店,儿童用品店,113.01076100000002,28.236144
全球集市,购物服务,商场,购物中心,112.975839,28.194965999999997
马可波罗磁砖(商贸路),购物服务,家居建材市场,建材五金市场,113.02793999999999,28.198254
狮龙电动车(新开铺专卖店),购物服务,专卖店,自行车专卖店,112.97076799999999,28.136063
黄兴南路步行商业街室内步行街A区,购物服务,特色商业街,步行街,112.975773,28.184523
三利家纺(望城步行街),购物服务,家居建材市场,布艺市场,112.821198,28.357158000000002
天宇电玩(解放东路店),购物服务,专卖店,专营店,113.00965900000001,28.1905
天伦地毯(湘湖南路),购物服务,家居建材市场,布艺市场,113.01268799999998,28.201889
恒通建材批发,购物服务,家居建材市场,建材五金市场,113.07548500000001,28.19562
高桥茶叶茶具城,购物服务,综合市场,农副产品市场,113.023625,28.170732
星光琴行(盼盼路),购物服务,专卖店,专营店,113.105741,28.218278
易捷便利店(荷花路),购物服务,便民商店/便利店,便民商店/便利店,113.021102,28.191290000000002
良品铺子(展览馆店),购物服务,专卖店,专营店,112.989351,28.203756
丰汇水果(华银天际店),购物服务,综合市场,果品市场,113.042111,28.112637
兴盛超市(桔洲新苑路),购物服务,超级市场,超市,112.95039399999999,28.234234999999998
佳美窗帘(新河路),购物服务,家居建材市场,布艺市场,112.98196000000002,28.226684999999996
和浴洁具(纬二路),购物服务,家居建材市场,厨卫市场,113.02864299999999,28.199862
莫奈花园(解放西路),购物服务,花鸟鱼虫市场,花卉市场,112.974112,28.191803000000004
民政学院超市,购物服务,便民商店/便利店,便民商店/便利店,113.017781,28.139459000000002
沙湾商业中心,购物服务,商场,购物中心,113.045482,28.152219
长房·龙柏湾商业街,购物服务,特色商业街,特色商业街,112.9426,28.234479999999998
TASKIN四季汇购物中心,购物服务,商场,购物中心,113.01111399999999,28.112512
康乐渔具(郭亮中路),购物服务,专卖店,专营店,112.815326,28.34941
华润漆(东一路),购物服务,家居建材市场,建材五金市场,113.01430400000001,28.061040000000002
芒果街,购物服务,特色商业街,特色商业街,113.00958999999999,28.165311
井湾子书店,购物服务,专卖店,书店,113.007589,28.122446999999998
老杨明远(解放东路),购物服务,专卖店,眼镜店,112.99777900000001,28.190865999999996
安沙国际建材城,购物服务,家居建材市场,建材五金市场,113.07498600000001,28.311671999999998
金满地地下商业街(人民中路),购物服务,特色商业街,特色商业街,112.55634099999999,28.249017
依视路眼镜(附三店),购物服务,专卖店,眼镜店,112.94402,28.216918
非凡布艺(金桂路),购物服务,家居建材市场,布艺市场,112.911831,28.213831
良品铺子(长沙迎宾路店),购物服务,专卖店,专营店,112.99205,28.195290999999997
流行美(好润佳购物中心),购物服务,专卖店,礼品饰品店,113.032424,28.201271000000002
安徽炒货城,购物服务,综合市场,果品市场,113.025754,28.17192
7·up,购物服务,专卖店,专营店,113.630614,28.137765
君山茶业(恒业巷),购物服务,专卖店,专营店,113.02001200000001,28.190628999999998
波司登(韶山南路),购物服务,服装鞋帽皮具店,品牌服装店,113.002197,28.133719
新日(望城店),购物服务,专卖店,自行车专卖店,112.823535,28.342716999999997
飞云安全门(银桂路),购物服务,家居建材市场,家具建材综合市场,112.91403000000001,28.217006
中国移动手机专卖店(雷锋店),购物服务,家电电子卖场,手机销售,112.841771,28.200643
四方旧货市场,购物服务,综合市场,旧货市场,113.00928799999998,28.22985
蓝天建材家具城(汇金路),购物服务,家居建材市场,家具建材综合市场,113.00948600000001,28.081415999999997
汇丰文具,购物服务,文化用品店,文化用品店,112.980851,28.194115000000004
长沙市金祚蔬菜农贸市场,购物服务,综合市场,蔬菜市场|购物服务,113.03116499999999,28.195166999999998
佛山照明(金利路),购物服务,家居建材市场,灯具瓷器市场,113.01481299999999,28.207926
百草园书店,购物服务,专卖店,书店,112.551128,28.252836
黄兴南路步行商业街室内步行街B区,购物服务,特色商业街,步行街,112.975972,28.185605
盼盼安全门(古汉路),购物服务,家居建材市场,建材五金市场,113.03025,28.204086
新里程购物中心,购物服务,商场,购物中心,112.993727,28.168688
卓诗尼(步行商业街),购物服务,服装鞋帽皮具店,品牌鞋店,112.976119,28.185783
春竹(劳动西路),购物服务,服装鞋帽皮具店,品牌服装店,112.990172,28.170054999999998
易捷便利店(书院南路),购物服务,便民商店/便利店,便民商店/便利店,112.97148500000002,28.15315
湖南九合广场,购物服务,商场,普通商场,113.01011000000001,28.165324
荣泰广场(建设中),购物服务,商场,购物中心|商务住宅,112.92636599999999,28.235263
金辉石材,购物服务,家居建材市场,家居建材市场,113.029646,28.198985999999998
千惠(解放路店),购物服务,便民商店/便利店,便民商店/便利店,113.001457,28.190777
创意陶瓷,购物服务,家居建材市场,建材五金市场|购物服务,113.05503,28.19688
中信城市广场,购物服务,商场,购物中心,112.987156,28.068182
7mall,购物服务,商场,购物中心,112.97581100000001,28.194651
湖南月湖大市场D区,购物服务,购物相关场所,购物相关场所,113.04325700000001,28.229335
百旺家具家电商行,购物服务,综合市场,旧货市场,113.02249599999999,28.1057
凯乐琴行(新建西路),购物服务,专卖店,专营店,112.99347,28.155568
唐韵琴行(劳动西路),购物服务,专卖店,专营店,112.989721,28.170593
悦成生活美学,购物服务,商场,购物中心|商务住宅,112.994905,28.251309000000003
锦和超市(庆圆食品店),购物服务,便民商店/便利店,便民商店/便利店,113.00878200000001,28.110249
Hipark凤凰海购物公园,购物服务,商场,购物中心,112.983783,28.236932
老杨明远(芙蓉中路),购物服务,专卖店,眼镜店,112.987124,28.22536
盛世茶仓,购物服务,专卖店,专营店,113.08526299999998,28.133459000000002
张万福(枫林三路),购物服务,专卖店,珠宝首饰工艺品,112.843626,28.20095
九牧洁具,购物服务,家居建材市场,家居建材市场,113.054162,28.200107
中天通讯手机卖场,购物服务,购物相关场所,购物相关场所,113.034632,28.194836
法恩莎卫浴(商贸路),购物服务,家居建材市场,厨卫市场,113.029095,28.20083
青山书店(赤岭路),购物服务,专卖店,书店,112.98080900000001,28.153373
雪雨卫浴,购物服务,家居建材市场,厨卫市场,113.02886399999998,28.199597999999998
天马都乐街,购物服务,特色商业街,特色商业街,112.94890900000001,28.164603000000003
都喜爱,购物服务,服装鞋帽皮具店,服装鞋帽皮具店,112.915926,28.218747999999998
恒晟超市(金星路),购物服务,便民商店/便利店,便民商店/便利店,112.83988500000001,28.315549
若兰阿真,购物服务,购物相关场所,购物相关场所,112.977907,28.224514000000003
湖湘文化艺术品大市场,购物服务,专卖店,珠宝首饰工艺品,112.97881399999999,28.277158
鑫磊石材(金利路),购物服务,家居建材市场,建材五金市场,113.01505,28.203215000000004
克明便利(电院街),购物服务,专卖店,烟酒专卖店|购物服务,112.990555,28.170687
千惠(曹家坡店),购物服务,便民商店/便利店,便民商店/便利店,112.996874,28.176216999999998
利民粮油店,购物服务,综合市场,农副产品市场,113.00301599999999,28.171089000000002
博世-西门子家电工厂店,购物服务,家电电子卖场,家电电子卖场,113.02327199999999,28.191368
湖南贝尔安亲云教育有限公司,购物服务,购物相关场所,购物相关场所,112.979047,28.196278000000003
花嫁喜铺(东郡路),购物服务,花鸟鱼虫市场,花卉市场,113.026583,28.188142
卡宾(新福源西北),购物服务,服装鞋帽皮具店,品牌服装店,112.97648999999998,28.188871000000002
德政园农贸市场,购物服务,综合市场,农副产品市场,113.021249,28.18576
吉盟(友阿春天),购物服务,专卖店,珠宝首饰工艺品,112.975973,28.193672999999997
咿呀母婴用品店(天心店),购物服务,专卖店,儿童用品店,112.974934,28.178238
白喉犀鸟,购物服务,购物相关场所,购物相关场所,113.00728400000001,28.031136
欧派门业,购物服务,家居建材市场,建材五金市场,113.016305,28.179761
易捷便利店(潇湘中路店),购物服务,便民商店/便利店,便民商店/便利店,112.951144,28.153229999999997
北京布鞋(谷苑路店),购物服务,服装鞋帽皮具店,品牌鞋店,112.89509,28.212873
长城玻璃,购物服务,家居建材市场,建材五金市场,113.01723999999999,28.183707000000002
旭日琴行(蔡锷中路),购物服务,专卖店,专营店,112.98131799999999,28.194799
潮流前线(东站社区筹备委员会东北),购物服务,服装鞋帽皮具店,品牌服装店,113.061175,28.200826
美诺广场,购物服务,商场,普通商场,112.99708500000001,28.191216999999998
长沙星城翡秀市场,购物服务,商场,普通商场,112.908363,28.20855
众鑫玻璃,购物服务,家居建材市场,建材五金市场,113.077471,28.193093
丽婴房(友谊店),购物服务,专卖店,儿童用品店,112.99968999999999,28.190812
比一比购物中心(车站店),购物服务,商场,购物中心,113.625199,28.144284000000003
迷尚,购物服务,服装鞋帽皮具店,服装鞋帽皮具店,113.022602,28.123659999999997
星之光电器城,购物服务,家电电子卖场,综合家电商场,112.90454299999999,28.370804999999997
宝岛眼镜(朝阳路店),购物服务,专卖店,眼镜店,113.00681999999999,28.188534000000004
罗马商业广场B区,购物服务,专卖店,宠物用品店,112.883746,28.197952
狮龙电动车(南湖专卖店),购物服务,专卖店,自行车专卖店,112.975353,28.165202
湖南省拍卖公司,购物服务,特殊买卖场所,拍卖行,112.986828,28.178953000000003
红豆家纺(芙蓉中路),购物服务,家居建材市场,布艺市场,112.985332,28.199921000000003
天上水,购物服务,购物相关场所,购物相关场所,113.05553700000002,28.231962
大润发(宁乡店),购物服务,超级市场,超市,112.55474299999999,28.259328000000004
珊瑚缸,购物服务,购物相关场所,购物相关场所,113.055796,28.232102
许愿池,购物服务,购物相关场所,购物相关场所,113.055796,28.232094
索菲亚(东塘店),购物服务,服装鞋帽皮具店,品牌鞋店,112.99526499999999,28.171946000000002
良品铺子(长沙井坡子店),购物服务,专卖店,专营店,113.003601,28.130144
明远眼镜(豹塘路),购物服务,专卖店,眼镜店,112.99526200000001,28.096063
兴华商场,购物服务,商场,普通商场,112.950806,28.193301
皇盛购物广场,购物服务,商场,购物中心,112.84344899999999,28.201093
Bershka(乐和城),购物服务,服装鞋帽皮具店,品牌服装店,112.97654399999999,28.198855
中国联通(金海沃店),购物服务,家电电子卖场,手机销售,113.08691599999999,28.197293
久发(左家塘店),购物服务,花鸟鱼虫市场,花卉市场|购物服务,113.000681,28.177808000000002
书魂书店,购物服务,专卖店,书店,112.814525,28.355247
美美·星天地,购物服务,商场,购物中心,113.082474,28.246053999999997
易捷便利店(金星中路店),购物服务,便民商店/便利店,便民商店/便利店,112.933854,28.219960999999998
G58智趣MALL,购物服务,商场,购物中心,113.039045,28.114404999999998
埃索皮艺(城南西路),购物服务,服装鞋帽皮具店,服装鞋帽皮具店,112.98084899999999,28.183109
富丽真金(望城专卖),购物服务,家居建材市场,布艺市场,112.81488999999999,28.35378
长恒超市(长沙站),购物服务,超级市场,超市,113.01288999999998,28.193626000000002
生鲜惠购物中心,购物服务,商场,购物中心,113.033054,28.113615000000003
浏河源基酒,购物服务,专卖店,烟酒专卖店,113.025228,28.170973999999998
七天优品(第1120分店),购物服务,便民商店/便利店,便民商店/便利店,113.028945,28.180989
红蜻蜓(黄兴南路步行街3店),购物服务,服装鞋帽皮具店,品牌服装店,112.97646999999999,28.187028
芙蓉国际黄金之城-北栋,购物服务,专卖店,珠宝首饰工艺品,112.98513700000001,28.188060999999998
高桥百货城,购物服务,购物相关场所,购物相关场所,113.02083300000001,28.171196999999996
和诚行(东牌楼店),购物服务,服装鞋帽皮具店,服装鞋帽皮具店,112.98311299999999,28.191726
荟聚购物中心(建设中),购物服务,商场,购物中心,112.93588999999999,28.117476
杜安(骏仕品牌专卖店),购物服务,服装鞋帽皮具店,品牌服装店,112.97996699999999,28.185540999999997
海澜之家(板仓中路),购物服务,服装鞋帽皮具店,品牌服装店,113.0784,28.243640000000003
国际好视眼镜,购物服务,专卖店,眼镜店,112.981683,28.202554
国储天悦城,购物服务,家电电子卖场,手机销售|购物服务,112.995496,28.171961
开福寺-居士莲友会,购物服务,购物相关场所,购物相关场所,112.977979,28.223599
南正街鞋服大市场,购物服务,专卖店,专营店,113.01207,28.186566999999997
德美橱柜(银桂路),购物服务,家居建材市场,厨卫市场,112.912999,28.217230999999998
四方坪红商建材市场,购物服务,家居建材市场,建材五金市场,113.005778,28.236058
清风阁,购物服务,购物相关场所,购物相关场所,112.960838,28.174433
毛家桥水果批发部,购物服务,综合市场,果品市场,112.81178999999999,28.356684
快乐惠全国连锁(诚信批发部),购物服务,便民商店/便利店,便民商店/便利店,113.05659299999999,28.168018
湘潭槟榔专店,购物服务,专卖店,专营店,112.999637,28.190532
乐万家超市(丁字联络线),购物服务,超级市场,超市,112.900821,28.368584000000002
爱情林,购物服务,购物相关场所,购物相关场所,112.93688600000002,28.120867999999998
古装坊,购物服务,购物相关场所,购物相关场所,112.93838600000001,28.182752
高哥增高鞋(五一大道),购物服务,服装鞋帽皮具店,服装鞋帽皮具店,112.988983,28.195159000000004
恒生购物广场(泉塘店),购物服务,商场,购物中心,113.11097600000001,28.226975
咿呀孕婴童连锁(广济桥店),购物服务,专卖店,儿童用品店,112.99215500000001,28.180771999999997
南川步行街,购物服务,特色商业街,步行街,113.72451399999999,27.970105
兴隆批发部,购物服务,便民商店/便利店,便民商店/便利店,112.94908799999999,28.142305
华润漆(银桂路),购物服务,家居建材市场,建材五金市场,112.91408600000001,28.217017
粒上皇(长沙黄兴步行街店),购物服务,综合市场,果品市场,112.97623899999999,28.190358000000003
红星井湾子办公家具专区,购物服务,家居建材市场,家具城,113.00876699999999,28.124961
家庭展缸,购物服务,购物相关场所,购物相关场所,113.05578700000001,28.232084999999998
孟加拉虎,购物服务,购物相关场所,购物相关场所,113.006051,28.035159000000004
win7(东牌楼),购物服务,服装鞋帽皮具店,服装鞋帽皮具店,112.979757,28.193668
雅戈尔(五一大道),购物服务,服装鞋帽皮具店,品牌服装店,112.979796,28.194940999999996
平价超市,购物服务,超级市场,超市,112.87261000000001,28.199334999999998
联想(永安专卖店),购物服务,家电电子卖场,数码电子,113.295774,28.211845
逸画廊,购物服务,专卖店,古玩字画店,112.990224,28.203742
一统国际家居(长沙芙蓉店),购物服务,家居建材市场,家具城,112.987806,28.129676
蓝色风情,购物服务,服装鞋帽皮具店,服装鞋帽皮具店,113.014145,28.231471000000003
强牌陶瓷(商贸路),购物服务,家居建材市场,灯具瓷器市场|购物服务,113.02851100000001,28.200902000000003
天福来购物广场(桃花塅路),购物服务,超级市场,超市,113.020904,28.095875
利民粮油(雷锋西路),购物服务,综合市场,农副产品市场,112.81316100000001,28.36175
高岭国际建材家居城,购物服务,家居建材市场,家具建材综合市场,112.984875,28.299957
洪山桥商贸城,购物服务,综合市场,综合市场,113.02065,28.243344
沃尔玛(长沙雨花亭分店),购物服务,超级市场,沃尔玛,112.99508700000001,28.154104999999998
屈臣氏(阿波罗商业广场),购物服务,超级市场,屈臣氏,113.009964,28.196894
吉盟(友谊商城店),购物服务,专卖店,珠宝首饰工艺品,112.995089,28.168322999999997
屈臣氏(雨花亭广场店),购物服务,超级市场,屈臣氏,112.99591000000001,28.154812
友阿电器(广场店),购物服务,家电电子卖场,综合家电商场,113.00888300000001,28.196393
浏阳石牛寨风景区,风景名胜,风景名胜,风景名胜,113.592657,28.406653000000002
宁乡沩山龙泉漂流,风景名胜,风景名胜相关,旅游景点,112.03915400000001,28.216831
关山古镇,风景名胜,风景名胜,风景名胜,112.678517,28.297057000000002
海底世界-极地海洋馆,风景名胜,公园广场,水族馆,113.05623700000001,28.232119
石燕湖生态旅游公园-爬行动物园,风景名胜,公园广场,动物园,113.08179799999999,28.006721000000002
徐特立纪念馆,风景名胜,风景名胜,纪念馆,113.08229299999999,28.255957000000002
白沙广场-摩天轮,风景名胜,风景名胜相关,旅游景点,112.98560400000001,28.178759000000003
象形风景区,风景名胜,风景名胜,风景名胜,113.87850900000001,28.399196000000003
世界之窗,风景名胜,风景名胜,风景名胜,113.054787,28.236435999999998
洗心禅寺,风景名胜,风景名胜,寺庙道观,112.85887199999999,28.278564000000003
湖南省森林植物园,风景名胜,公园广场,植物园,113.03200600000001,28.103284000000002
柑橘文化园,风景名胜,风景名胜,风景名胜,112.96027,28.168971000000003
江神庙,风景名胜,风景名胜,寺庙道观,112.96328899999999,28.198981
黄石洞漂流,风景名胜,风景名胜,风景名胜,114.202359,28.364115
花炮博物馆-李畋庙,风景名胜,风景名胜,寺庙道观,113.72474199999999,27.989564
龙潭风景区,风景名胜,风景名胜,风景名胜,113.671577,28.434496999999997
书堂山欧阳询文化园,风景名胜,风景名胜,风景名胜,112.888397,28.395357
北斗庵瀑布,风景名胜,风景名胜相关,旅游景点,113.663169,28.431219
密印寺-沩山风景名胜区,风景名胜,风景名胜,风景名胜,111.97040600000001,28.178108
岳麓山国家重点风景名胜区,风景名胜,风景名胜,国家级景点,112.937353,28.182848999999997
望江亭,风景名胜,风景名胜,风景名胜,112.96030400000001,28.166012
湖南雷锋纪念馆-湖南党史陈列馆,风景名胜,风景名胜,纪念馆,112.843748,28.203027000000002
长沙市玉泉寺,风景名胜,风景名胜,寺庙道观,112.96963400000001,28.156175
石燕湖黑龙潭地下峡谷漂流,风景名胜,风景名胜,风景名胜,113.08516000000002,28.003342
指点江山,风景名胜,风景名胜,风景名胜,112.960148,28.165814
古开福寺,风景名胜,风景名胜,风景名胜,112.97831299999999,28.224355
